PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;CURRENT_CATALOG_NAME;NORMALIZED_DIRECTION;CATALOG_MATCH_STATUS;GOODS_PRESENT;SECTION_NAME;PARENT_SECTION;COST_PRICE;COEFFICIENT;OFFER_ROWS;OFFER_DEALS;OFFER_QTY_LADDER;ORDER_ROWS;ORDER_DEALS;TOTAL_ORDER_QTY;CURRENT_BASE_PRICE;ORDER_PRICE_P25;ORDER_PRICE_P50;ORDER_PRICE_P75;ORDER_QTY_P25;ORDER_QTY_P50;ORDER_QTY_P75;PRICE_RATIO_P25;PRICE_RATIO_P50;PRICE_RATIO_P75;PRICE_RATIO_MIN;PRICE_RATIO_MAX;PRICE_RATIO_RANGE;PRICE_MODE;CONFIDENCE_TIER;MANUAL_REVIEW_REASON
16836;16836;Махачкала Насрутдинова 138 Икар Сторона Б 42.93928, 47.57579;Махачкала Насрутдинова 138 Икар Сторона Б 42.93928, 47.57579;РИК;catalog;Y;Брандмауэр;Махачкала;35000;0.2;0;0;;25;25;18.98;42000;60000;60000;60000;0.7;0.7;0.7;1.4286;1.4286;1.4286;1;1.4286;0.4286;guided;medium;requires_context_lookup
17610;17610;Махачкала Ярагского 47 Остановка Ирчи Казака Сторона Б2 42.96646, 47.50289;Махачкала Ярагского 47 Остановка Ирчи Казака Сторона Б2 42.96646, 47.50289;РИК;catalog;Y;Щит;Махачкала;1650;0.2;0;0;;25;25;25.75;4000;4000;4000;4000;1;1;1.15;1;1;1;1;4.4;3.4;manual;low;high_price_variance
18086;18086;Каспийск Ленина 20 Следственный отдел Сторона Б 42.88895, 47.64;Каспийск Ленина 20 Следственный отдел Сторона Б 42.88895, 47.64;РИК;catalog;Y;Щит;Каспийск;20000;0.2;0;0;;25;25;24.22;25000;15000;15000;17600;0.8;1;1;0.6;0.6;0.704;0.5;1;0.5;guided;medium;requires_context_lookup
18116;18116;Каспийск Халилова 5 второй Руссгидро Сторона А 42.89047, 47.64291;Каспийск Халилова 5 второй Руссгидро Сторона А 42.89047, 47.64291;РИК;catalog;Y;Щит;Каспийск;15000;0.2;0;0;;25;25;26.66;22000;13000;15000;22000;0.8667;1;1;0.5909;0.6818;1;0.5909;1.05;0.4591;guided;medium;requires_context_lookup
23994;23994;Махачкала Акушинского 257 Мечеть сторона А1 42.97449, 47.43092;Махачкала Акушинского 257 Мечеть сторона А1 42.97449, 47.43092;РИК;catalog;Y;Щит;Махачкала;15000;;0;0;;25;25;23.62;20000;20000;22000;22000;1;1;1;1;1.1;1.1;1;1.1;0.1;guided;medium;requires_context_lookup
4340;4340;А3 Ламинация глянцевая 75мкр 1-4 шт Печатная;А3 Ламинация глянцевая 75мкр 1-4 шт Печатная;Печатная;catalog;Y;Ламинация;А3;34.04;0.11;0;0;;25;25;50.1;153.2;146.58;146.58;153.2;1;1;3;0.9568;0.9568;1;0.8067;1.05;0.2433;guided;medium;requires_context_lookup
5262;5262;Визитки Печать 4+4 1-3 дня 360 Печатная;Визитки Печать 4+4 1-3 дня 360 Печатная;Печатная;catalog;Y;Лазерная печать;Визитки;1.4;0.04;0;0;;25;25;8531;4.98;3.25;4.18;4.65;300;360;400;0.6526;0.8394;0.9337;0.5562;1.2711;0.7149;manual;low;high_price_variance
6510;6510;Оклейка рельефной поверхности пленкой 10-20 кв.м Цех;Оклейка рельефной поверхности пленкой 10-20 кв.м Цех;Цех;catalog;Y;Оклейка;Самоклейка;630;0.05;2;2;20;25;22;275.04;1260;676;936;936;5.7;11.7;14.1;0.5365;0.7429;0.7429;0.4952;0.8048;0.3096;guided;medium;requires_context_lookup
6948;6948;Табличка аппликация 0,1-0,16 кв.м 1-3 шт Цех;Табличка аппликация 0,1-0,16 кв.м 1-3 шт Цех;Цех;catalog;Y;Аппликация;Таблички;2805;0.11;8;8;0.24|0.72|7.2;25;25;12153.2;5610;0.49;4650;5421;0.2;0.3;1200;0.0001;0.8289;0.9663;0.0001;1.0595;1.0594;manual;low;high_price_variance
9244;9244;Световая подвесная панель монтаж 1 шт. Цех;Световая подвесная панель монтаж 1 шт. Цех;Цех;catalog;Y;Монтаж;Световые панели;1500;0.05;0;0;;25;23;61.5;3600;2400;2400;2600;1;2;3;0.6667;0.6667;0.7222;0.5833;1;0.4167;guided;medium;requires_context_lookup
