PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;ORDER_ROWS;PRICE_MODE;CONFIDENCE_TIER;PRICE_RATIO_RANGE;CURRENT_BASE_PRICE;ORDER_PRICE_P50;MANUAL_REVIEW_REASON
10776;Адаптивная верстка простая страницы;IT;5;manual;low;0;5000;5000;insufficient_history
11380;Выезд на диагностику сложную Цех;Цех;5;manual;low;0;5000;5000;insufficient_history
12312;Макет пакета брендированного Средней сложности 1 оригинал-макет;Дизайн;5;manual;low;0;2000;2000;insufficient_history
12322;Макет папки для документов брендированной Простая 1 оригинал-макет;Дизайн;5;manual;low;0;1000;1000;insufficient_history
12328;Макет бланка брендированного Простой 1 оригинал-макет;Дизайн;5;manual;low;0;1000;1000;insufficient_history
12416;Макет штендера Простой 1 оригинал-макет;Дизайн;5;manual;low;0;2000;2000;insufficient_history
13520;Макет крафт пакета Простой 1 оригинал-макет;Дизайн;5;manual;low;0;2500;2000;insufficient_history
15642;Листовка А5 Офсет 150 гр/м мел бум. 4+4/ 4+0 5-7 дней 5 000 шт;Офсет;5;manual;low;0;3.05;2.57;insufficient_history
15820;Махачкала Гайдара Гаджиева 17 Тролл кольцо Сторона А1 42.98365, 47.47169;РИК;5;manual;low;0;16500;16500;insufficient_history
16112;Махачкала Имама Шамиля 12 АЗС F1 Сторона Б 42.98034, 47.47481;РИК;5;manual;low;0;17600;17600;insufficient_history
16450;Махачкала Имама Шамиля 84 Флайстудио Сторона Б 42.95609, 47.5107;РИК;5;manual;low;0;20000;20000;insufficient_history
16536;Махачкала Ирчи Казака 63 Академия интерьера Сторона А 42.964, 47.50758;РИК;5;manual;low;0;17600;17600;insufficient_history
16538;Махачкала Ирчи Казака 63 Академия интерьера Сторона Б 42.964, 47.50758;РИК;5;manual;low;0;17600;17600;insufficient_history
18202;Каспийск Ильяшенко-Ленина 52Г Аптека Шах Сторона А 42.89478, 47.63168;РИК;5;manual;low;0;17600;17600;insufficient_history
18754;Каспийск Стальского 1Б второй Классный Сторона А3 42.88799, 47.63649;РИК;5;manual;low;0;5000;5000;insufficient_history
19742;Махачкала Уйташ Аэропорт Зал регистрации Сторона А 42.82093, 47.65566;РИК;5;manual;low;0;17600;17600;insufficient_history
21192;Макет слайда презентации со статьей средней сложности 1 слайд;Дизайн;5;manual;low;0;3000;3000;insufficient_history
21196;Макет слайда презентации с инфографикой простой 1 слайд;Дизайн;5;manual;low;0;2000;2000;insufficient_history
21416;Макет шаблона для поста Средней сложности 1 решение;Дизайн;5;manual;low;0;2000;2000;insufficient_history
21894;Прокладка кабеля питания к вывеске монтаж 5-10 мп Цех;Цех;5;manual;low;0;196;196;insufficient_history
22230;Табличка из царапанного пластика с гравировкой 15х15 см за 1 шт 1-3 шт POS;POS;5;manual;low;0;810;900;insufficient_history
