PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;CURRENT_BASE_PRICE;OFFER_ROWS;ORDER_ROWS;UTILIZATION_STATUS
13732;ПАКЕТ ПВД 20х30 3+0/2+1 200 шт;Мерч;73.95;1;0;offers_only
13734;ПАКЕТ ПВД 20х30 3+0/2+1 300 шт;Мерч;65.6;1;0;offers_only
13736;ПАКЕТ ПВД 20х30 3+0/2+1 500 шт;Мерч;55.5;1;0;offers_only
13738;ПАКЕТ ПВД 20х30 3+0/2+1 1000 шт;Мерч;50.12;1;0;offers_only
13740;ПАКЕТ ПВД 20х30 3+0/2+1 более 2000 шт;Мерч;45.24;1;0;offers_only
13742;ПАКЕТ ПВД 30х40 3+0/2+1 100 шт;Мерч;85.5;1;0;offers_only
13744;ПАКЕТ ПВД 30х40 3+0/2+1 200 шт;Мерч;74.8;1;0;offers_only
13746;ПАКЕТ ПВД 30х40 3+0/2+1 300 шт;Мерч;68.48;1;0;offers_only
13748;ПАКЕТ ПВД 30х40 3+0/2+1 500 шт;Мерч;58.35;1;0;offers_only
13750;ПАКЕТ ПВД 30х40 3+0/2+1 1000 шт;Мерч;50.54;1;0;offers_only
13752;ПАКЕТ ПВД 30х40 3+0/2+1 более 2000 шт;Мерч;45.63;1;0;offers_only
13756;ПАКЕТ ПВД 40х50 3+0/2+1 200 шт;Мерч;85.43;1;0;offers_only
13758;ПАКЕТ ПВД 40х50 3+0/2+1 300 шт;Мерч;74.4;1;0;offers_only
13760;ПАКЕТ ПВД 40х50 3+0/2+1 500 шт;Мерч;66.75;1;0;offers_only
13762;ПАКЕТ ПВД 40х50 3+0/2+1 1000 шт;Мерч;54.04;1;0;offers_only
13764;ПАКЕТ ПВД 40х50 3+0/2+1 более 2000 шт;Мерч;48.88;1;0;offers_only
13766;ПАКЕТ ПВД 50х60 3+0/2+1 100 шт;Мерч;107.1;1;0;offers_only
13768;ПАКЕТ ПВД 50х60 3+0/2+1 200 шт;Мерч;94.35;1;0;offers_only
13770;ПАКЕТ ПВД 50х60 3+0/2+1 300 шт;Мерч;84.48;1;0;offers_only
13772;ПАКЕТ ПВД 50х60 3+0/2+1 500 шт;Мерч;79.05;1;0;offers_only
13774;ПАКЕТ ПВД 50х60 3+0/2+1 1000 шт;Мерч;68.18;1;0;offers_only
13776;ПАКЕТ ПВД 50х60 3+0/2+1 более 2000 шт;Мерч;61.23;1;0;offers_only
13904;Ручка Миллениум пластиковая от 500 шт;Мерч;64.2;1;0;offers_only
13906;Ручка Миллениум пластиковая от 1000 шт;Мерч;59.92;1;0;offers_only
13908;Ручка Миллениум пластиковая от 2000 шт;Мерч;55.64;1;0;offers_only
13912;Ручка Умбо БиКолор пластиковая от 100 шт;Мерч;70.47;1;0;offers_only
13914;Ручка Умбо БиКолор пластиковая от 200 шт;Мерч;66.32;2;0;offers_only
13916;Ручка Умбо БиКолор пластиковая от 500 шт;Мерч;62.18;1;0;offers_only
13918;Ручка Умбо БиКолор пластиковая от 1000 шт;Мерч;58.03;1;0;offers_only
13920;Ручка Умбо БиКолор пластиковая от 2000 шт;Мерч;53.89;1;0;offers_only
13924;Ручка ЭКО ДУБЛЬВ из пшеничной соломы от 100 шт;Мерч;75.91;1;0;offers_only
13926;Ручка ЭКО ДУБЛЬВ из пшеничной соломы от 200 шт;Мерч;71.44;2;0;offers_only
13928;Ручка ЭКО ДУБЛЬВ из пшеничной соломы от 500 шт;Мерч;66.98;1;0;offers_only
13930;Ручка ЭКО ДУБЛЬВ из пшеничной соломы от 1000 шт;Мерч;62.51;1;0;offers_only
13932;Ручка ЭКО ДУБЛЬВ из пшеничной соломы от 2000 шт;Мерч;58.05;1;0;offers_only
13938;Ручка Ресайклд из бумаги с колпачком от 200 шт;Мерч;77.55;2;0;offers_only
13940;Ручка Ресайклд из бумаги с колпачком от 500 шт;Мерч;72.71;2;0;offers_only
13944;Ручка Ресайклд из бумаги с колпачком от 2000 шт;Мерч;63.01;1;0;offers_only
13950;Ручка Нави софт-тек пластиковая от 200 шт;Мерч;98.61;2;0;offers_only
13952;Ручка Нави софт-тек пластиковая от 500 шт;Мерч;92.45;1;0;offers_only
13954;Ручка Нави софт-тек пластиковая от 1000 шт;Мерч;86.28;1;0;offers_only
13956;Ручка Нави софт-тек пластиковая от 2000 шт;Мерч;80.12;2;0;offers_only
13960;Ручка Эко 2.0 картонная от 100 шт;Мерч;82.28;1;0;offers_only
13962;Ручка Эко 2.0 картонная от 200 шт;Мерч;77.44;2;0;offers_only
13964;Ручка Эко 2.0 картонная от 500 шт;Мерч;72.6;1;0;offers_only
13966;Ручка Эко 2.0 картонная от 1000 шт;Мерч;67.76;1;0;offers_only
13968;Ручка Эко 2.0 картонная от 2000 шт;Мерч;62.92;1;0;offers_only
13972;Ручка Умбо пластиковая от 100 шт;Мерч;93.16;1;0;offers_only
13976;Ручка Умбо пластиковая от 500 шт;Мерч;82.2;1;0;offers_only
13978;Ручка Умбо пластиковая от 1000 шт;Мерч;76.72;1;0;offers_only
13980;Ручка Умбо пластиковая от 2000 шт;Мерч;71.24;1;0;offers_only
13984;Ручка Тапер пластиковая от 100 шт;Мерч;104.04;1;0;offers_only
13986;Ручка Тапер пластиковая от 200 шт;Мерч;97.92;2;0;offers_only
13988;Ручка Тапер пластиковая от 500 шт;Мерч;91.8;1;0;offers_only
13990;Ручка Тапер пластиковая от 1000 шт;Мерч;85.68;1;0;offers_only
13992;Ручка Тапер пластиковая от 2000 шт;Мерч;79.56;1;0;offers_only
13996;Ручка Наш пластиковая от 100 шт;Мерч;112.2;2;0;offers_only
13998;Ручка Наш пластиковая от 200 шт;Мерч;105.6;1;0;offers_only
14000;Ручка Наш пластиковая от 500 шт;Мерч;99;1;0;offers_only
14002;Ручка Наш пластиковая от 1000 шт;Мерч;92.4;1;0;offers_only
14004;Ручка Наш пластиковая от 2000 шт;Мерч;85.8;1;0;offers_only
14008;Ручка Жако металлическая от 100 шт;Мерч;143.97;1;0;offers_only
14010;Ручка Жако металлическая от 200 шт;Мерч;135.5;2;0;offers_only
14012;Ручка Жако металлическая от 500 шт;Мерч;127.04;1;0;offers_only
14014;Ручка Жако металлическая от 1000 шт;Мерч;118.57;1;0;offers_only
14016;Ручка Жако металлическая от 2000 шт;Мерч;110.1;1;0;offers_only
14020;Ручка Сага бамбуковая от 100 шт;Мерч;141.25;1;0;offers_only
14022;Ручка Сага бамбуковая от 200 шт;Мерч;132.94;2;0;offers_only
14024;Ручка Сага бамбуковая от 500 шт;Мерч;124.64;1;0;offers_only
14026;Ручка Сага бамбуковая от 1000 шт;Мерч;116.33;1;0;offers_only
14028;Ручка Сага бамбуковая от 2000 шт;Мерч;108.02;1;0;offers_only
14032;Ручка Атриум металлическая от 100 шт;Мерч;136.31;1;0;offers_only
14034;Ручка Атриум металлическая от 200 шт;Мерч;128.29;2;0;offers_only
14036;Ручка Атриум металлическая от 500 шт;Мерч;120.27;1;0;offers_only
