PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;SECTION_NAME;PARENT_SECTION;COST_PRICE;MARKUP_RATIO;PRICE_MODE;CONFIDENCE_TIER;ORDER_ROWS;OFFER_ROWS;CURRENT_BASE_PRICE;RECOMMENDED_PRICE;SUGGESTED_MIN_PRICE;SUGGESTED_MAX_PRICE;OFFER_QTY_LADDER;MANUAL_REVIEW_REASON;NEAREST_ANALOG_1;NEAREST_ANALOG_2;NEAREST_ANALOG_3
6468;6468;Аппликация ровной поверхности монтаж 1 кв.м Цех;Цех;Аппликация;Самоклейка;675;1.56;manual;low;112;29;1350;;;;1|1.28;high_price_variance;6468:Аппликация ровной поверхности монтаж 1 кв.м Цех;;
7976;7976;Баннер печать ширка литой более 50 кв.м;Сольвент;Печать;Баннер;300;1.21;guided;medium;111;1;390;364;351;429;60;requires_context_lookup;;;
10848;10848;Автоматическая контурная прорезка любой формы на листе 30х45 10-30 мп Печатная;Печатная;Автоматическая резка;Стикеры;2.21;5.88;manual;low;109;0;13;;;;;high_price_variance;10848:Автоматическая контурная прорезка любой формы на листе 30х45 10-30 мп Печатная;;
11502;11502;Баннер на световой билборд 4х3 с прошивкой печать 12 кв.м;Сольвент;Билборд;Баннер;2500;1.3;guided;medium;109;0;3250;3250;2925;3770;;requires_context_lookup;;;
5266;5266;Визитки Печать 4+4 1-3 дня 500 Печатная;Печатная;Лазерная печать;Визитки;1.3;2.91;manual;low;109;11;4.38;;;;500;high_price_variance;5266:Визитки Печать 4+4 1-3 дня 500 Печатная;;
6444;6444;Аппликация прорезка 1-5 мп Печатная;Печатная;Аппликация;Самоклейка;10;2.1;manual;low;108;20;30;;;;1|1.5|2|2.1|2.4|2.5|2.6|2.9;high_price_variance;6444:Аппликация прорезка 1-5 мп Печатная;;
8788;8788;Стабилизатор 1 кВт 1 шт Цех;Цех;Стабилизатор 1 кВт;Электрика;2805;1.84;manual;low;106;28;5511;;;;1;high_price_variance;8788:Стабилизатор 1 кВт 1 шт Цех;;
6324;6324;Оклейка ровной поверхности пленкой 1 кв.м Цех;Цех;Оклейка;Самоклейка;525;1.71;manual;low;105;2;1050;;;;1;high_price_variance;6324:Оклейка ровной поверхности пленкой 1 кв.м Цех;;
7978;7978;Баннер печать интерьерный 440гр 1 кв.м;Сольвент;Печать;Баннер;450;1.24;manual;low;104;1;1125;;;;1;high_price_variance;7978:Баннер печать интерьерный 440гр 1 кв.м;;
4520;4520;А4 Печать 4+0 41-120 шт Печатная;Печатная;Печать;А4;7.37;3.11;manual;low;103;47;23.87;;;;50|60|100|200;high_price_variance;4520:А4 Печать 4+0 41-120 шт Печатная;;
