DATASET;ID;TITLE;OPPORTUNITY;COMPANY_ID;CONTACT_ID;BEGINDATE;CLOSEDATE;DESCRIPTION;GOOD_ID;PRODUCT_ID;PRODUCT_NAME;PRICE;PRICE_ACCOUNT;QUANTITY;BASE_PRICE;CATALOG_ID;SECTION_ID;NAME;Направление;CLIENT_SOURCE;CLIENT_LABEL;CLIENT_KEY;CLIENT_CONTEXT_STATUS;PRODUCT_KEY;CATALOG_MATCH_STATUS;PRODUCT_NAME_NORMALIZED;LINE_TOTAL;PRICE_NUM;BASE_PRICE_NUM;QUANTITY_NUM;PRICE_TO_BASE_RATIO;NORMALIZED_DIRECTION;DIRECTION_SOURCE;CLOSE_MONTH;CLOSE_YEAR;DEAL_DURATION_DAYS
goods;;;;;;;;;;20776;Винил с шрифтом Брайля печать 10-20 кв.м;;;;4500.00;21;1002;Винил с шрифтом Брайля печать 10-20 кв.м;POS;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20776;catalog;Винил с шрифтом Брайля печать 10-20 кв.м;;;4500;;;POS;raw;;;
goods;;;;;;;;;;20778;Винил с шрифтом Брайля печать 20-50 кв.м;;;;4200.00;21;1002;Винил с шрифтом Брайля печать 20-50 кв.м;POS;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20778;catalog;Винил с шрифтом Брайля печать 20-50 кв.м;;;4200;;;POS;raw;;;
goods;;;;;;;;;;20780;Винил с шрифтом Брайля печать более 50 кв.м;;;;3900.00;21;1002;Винил с шрифтом Брайля печать более 50 кв.м;POS;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20780;catalog;Винил с шрифтом Брайля печать более 50 кв.м;;;3900;;;POS;raw;;;
goods;;;;;;;;;;20798;УФ-печать на композите с белым цветом до 1 кв.м;;;;4860.00;21;1850;УФ-печать на композите с белым цветом до 1 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20798;catalog;УФ-печать на композите с белым цветом до 1 кв.м;;;4860;;;УФ-печать;raw;;;
goods;;;;;;;;;;20800;УФ-печать на композите с белым цветом 1-2 кв.м;;;;4590.00;21;1850;УФ-печать на композите с белым цветом 1-2 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20800;catalog;УФ-печать на композите с белым цветом 1-2 кв.м;;;4590;;;УФ-печать;raw;;;
goods;;;;;;;;;;20802;УФ-печать на композите с белым цветом 2-3 кв.м;;;;4320.00;21;1850;УФ-печать на композите с белым цветом 2-3 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20802;catalog;УФ-печать на композите с белым цветом 2-3 кв.м;;;4320;;;УФ-печать;raw;;;
goods;;;;;;;;;;20804;УФ-печать на композите с белым цветом 3-4 кв.м;;;;4050.00;21;1850;УФ-печать на композите с белым цветом 3-4 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20804;catalog;УФ-печать на композите с белым цветом 3-4 кв.м;;;4050;;;УФ-печать;raw;;;
goods;;;;;;;;;;20806;УФ-печать на композите с белым цветом 4-6 кв.м;;;;3780.00;21;1850;УФ-печать на композите с белым цветом 4-6 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20806;catalog;УФ-печать на композите с белым цветом 4-6 кв.м;;;3780;;;УФ-печать;raw;;;
goods;;;;;;;;;;20808;УФ-печать на композите с белым цветом более 6 кв.м;;;;3510.00;21;1850;УФ-печать на композите с белым цветом более 6 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20808;catalog;УФ-печать на композите с белым цветом более 6 кв.м;;;3510;;;УФ-печать;raw;;;
goods;;;;;;;;;;20810;УФ-печать на акриле без белого цвета до 1 кв.м;;;;3240.00;21;1846;УФ-печать на акриле без белого цвета до 1 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20810;catalog;УФ-печать на акриле без белого цвета до 1 кв.м;;;3240;;;УФ-печать;raw;;;
goods;;;;;;;;;;20812;УФ-печать на акриле без белого цвета 1-2 кв.м;;;;3060.00;21;1846;УФ-печать на акриле без белого цвета 1-2 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;20812;catalog;УФ-печать на акриле без белого цвета 1-2 кв.м;;;3060;;;УФ-печать;raw;;;
